Distance_(mm),Gray_Value
7.3249,14.0919
7.3310,14.0985
7.3371,14.0845
7.3432,14.0463
7.3492,13.9589
7.3553,13.9126
7.3614,13.9644
7.3675,14.0255
7.3736,14.0644
7.3796,14.0605
7.3857,14.0446
7.3918,14.0877
7.3979,14.0836
7.4039,14.0560
7.4100,14.0207
7.4161,13.9866
7.4222,13.9574
7.4283,14.0013
7.4343,14.0479
7.4404,14.0747
7.4465,14.0766
7.4526,14.0420
7.4587,14.0709
7.4647,14.0531
7.4708,13.9890
7.4769,13.8430
7.4830,13.7151
7.4891,13.6234
7.4951,13.6461
7.5012,13.7744
7.5073,13.9532
7.5134,13.9622
7.5194,13.9434
7.5255,13.8948
7.5316,13.9192
7.5377,13.9091
7.5438,13.8810
7.5498,13.8256
7.5559,13.7303
7.5620,13.6636
7.5681,13.6019
7.5742,13.5738
7.5802,13.6269
7.5863,13.6840
7.5924,13.6758
7.5985,13.6666
7.6045,13.6287
7.6106,13.5787
7.6167,13.5668
7.6228,13.5764
7.6289,13.5244
7.6349,13.4593
7.6410,13.4270
7.6471,13.4010
7.6532,13.3885
7.6593,13.4348
7.6653,13.4430
7.6714,13.4078
7.6775,13.3569
7.6836,13.3368
7.6897,13.3498
7.6957,13.3783
7.7018,13.3740
7.7079,13.3429
7.7140,13.2553
7.7200,13.1991
7.7261,13.1730
7.7322,13.1639
7.7383,13.1669
7.7444,13.1510
7.7504,13.1573
7.7565,13.1454
7.7626,13.1521
7.7687,13.1798
7.7748,13.2211
7.7808,13.2487
7.7869,13.3573
7.7930,13.4384
7.7991,13.4596
7.8051,13.4862
7.8112,13.4686
7.8173,13.3773
7.8234,13.3241
7.8295,13.2401
7.8355,13.1103
7.8416,12.9890
7.8477,12.7928
7.8538,12.6616
7.8599,12.5224
7.8659,12.4024
7.8720,12.3902
7.8781,12.3784
7.8842,12.3748
7.8902,12.3683
7.8963,12.3300
7.9024,12.2740
7.9085,12.2189
7.9146,12.1831
7.9206,12.1670
7.9267,12.1454
7.9328,12.1310
7.9389,12.1658
7.9450,12.2292
7.9510,12.2479
7.9571,12.2541
7.9632,12.2865
7.9693,12.3336
7.9754,12.2864
7.9814,12.2993
7.9875,12.3188
7.9936,12.3246
7.9997,12.2565
8.0057,12.2591
8.0118,12.3139
8.0179,12.3748
8.0240,12.3410
8.0301,12.2699
8.0361,12.2479
8.0422,12.2617
8.0483,12.2537
8.0544,12.3316
8.0605,12.3879
8.0665,12.3798
8.0726,12.3887
8.0787,12.4302
8.0848,12.5570
8.0908,12.6196
8.0969,12.6214
8.1030,12.6081
8.1091,12.6730
8.1152,12.7621
8.1212,12.8060
8.1273,12.8141
8.1334,12.9281
8.1395,12.9823
8.1456,13.0061
8.1516,13.0938
8.1577,13.1293
8.1638,13.1007
8.1699,13.0211
8.1760,12.8730
8.1820,12.7902
8.1881,12.7317
